id;year;title;subject;popularity;awards
0;1990;Tie Me Up! Tie Me Down!;COMEDY;68;False
1;1991;High Heels;COMEDY;68;False
2;1983;Dead Zone, The;HORROR;79;False
3;1979;Cuba;ACTION;6;False
4;1978;Days of Heaven;DRAMA;14;False
5;1983;Octopussy;ACTION;68;False
6;1984;Target Eagle;ACTION;14;False
7;1989;American Angels: Baptism of Blood, The;DRAMA;28;False
8;1985;Subway;DRAMA;6;False
9;1990;Camille Claudel;DRAMA;32;False
10;1982;Fanny and Alexander;DRAMA;81;True
11;1982;Tragedy of a Ridiculous Man;DRAMA;17;False
12;1966;A Man & a Woman;DRAMA;46;True
13;1986;A Man & a Woman: Twenty Years Later;DRAMA;49;False
14;1966;Un Hombre y una Mujer;DRAMA;6;True
15;1985;Official Story, The;DRAMA;39;True
16;1976;Lindbergh Kidnapping Case, The;DRAMA;51;False
17;1929;Blackmail;MYSTERY;2;False
18;1963;Donovan's Reef;COMEDY;62;False
19;1988;Tucker: The Man & His Dream;DRAMA;68;False
20;1988;Scrooged;COMEDY;15;False
21;1981;Raiders of the Lost Ark;ACTION;8;False
22;1987;Running Man, The;SCIENCE FICTION;31;False
23;1991;Predator 2;ACTION;79;False
24;1988;Colors;DRAMA;23;False
25;1990;Zandalee;DRAMA;80;False
26;1988;Miles from Home;DRAMA;53;False
27;1980;Happy Birthday to Me;HORROR;88;False
28;1989;Final Notice;MYSTERY;88;False
29;1979;Quintet;DRAMA;19;False
30;1960;Devil's Eye, The;DRAMA;20;False
31;1957;Wild Strawberries;DRAMA;42;True
32;1956;Seventh Seal, The;DRAMA;62;False
33;1992;Germicide;DRAMA;36;False
34;1955;Dreams;DRAMA;14;False
35;1955;Naked Night, The;DRAMA;38;False
36;1962;Through a Glass Darkly;DRAMA;64;True
37;1972;Cries & Whispers;DRAMA;18;True
38;1958;Barbarian & the Geisha, The;ACTION;52;False
39;1967;Casino Royale;COMEDY;11;False
40;1962;Dr. No;ACTION;7;False
41;1954;Elephant Walk;DRAMA;11;False
42;1979;Ten;COMEDY;60;False
43;1983;Man Who Loved Women, The;COMEDY;67;False
44;1966;Hawaii;DRAMA;8;False
45;1966;Torn Curtain;MYSTERY;35;False
46;1986;Duet for One;DRAMA;82;False
47;1965;Sound of Music, The;MUSIC;59;True
48;1985;Gonzo Presents Muppet Weird Stuff;COMEDY;88;False
49;1984;Tartuffe;COMEDY;67;False
50;1988;A New Life;COMEDY;53;False
51;1978;Magic;MYSTERY;85;False
52;1992;Tommy;MUSIC;5;False
53;1978;Big Fix, The;MYSTERY;19;False
54;1992;Alan & Naomi;DRAMA;3;False
55;1987;Fatal Attraction;MYSTERY;61;False
56;1992;Patriot Games;ACTION;28;False
57;1981;Woman Next Door, The;DRAMA;82;False
58;1992;Hunting;MYSTERY;68;False
59;1991;Bataan;WAR;68;False
60;1924;Siegfried, The Nibelungenlied;DRAMA;79;False
61;1991;Henry, Portrait of a Serial Killer;HORROR;69;False
62;1988;Big Blue, The;DRAMA;7;False
63;1991;Flight of the Intruder;DRAMA;51;False
64;1986;Nobody's Fool;COMEDY;52;False
65;1985;After Hours;COMEDY;81;False
66;1985;Desperately Seeking Susan;COMEDY;41;False
67;1971;A New Leaf;COMEDY;83;False
68;1959;Killers of Kilimanjaro;ACTION;11;False
69;1926;Don Juan;ACTION;55;False
70;1987;Babette's Feast;DRAMA;79;True
71;1989;Vincent, Francois, Paul & the Others;DRAMA;20;False
72;1988;Thunderball;ACTION;8;False
73;1926;Lodger (Story of the London Fog);MYSTERY;76;False
74;1988;Appointment with Death;MYSTERY;75;False
75;1974;Murder on the Orient Express;MYSTERY;8;True
76;1955;Blood Alley;WAR;15;False
77;1977;Spy Who Loved Me, The;ACTION;27;False
78;1988;Storm;ACTION;61;False
79;1991;Bloodbath;HORROR;37;False
80;1989;Miami Cops;ACTION;40;False
81;1996;Island of Dr. Moreau, The;HORROR;39;False
82;1992;Eighty-Four Charing Cross Road;DRAMA;9;False
83;1980;Elephant Man, The;DRAMA;3;True
84;1988;Dr Alien;SCIENCE FICTION;70;False
85;1982;Creepshow;HORROR;70;False
86;1987;Sammy & Rosie Get Laid;DRAMA;6;False
87;1971;Goalie's Anxiety at the Penalty Kick, The;DRAMA;62;False
88;1957;Mademoiselle Striptease;COMEDY;25;False
89;1969;Women, The;DRAMA;66;False
90;1958;That Naughty Girl;COMEDY;37;False
91;1959;Voulez-Vous Danser Avec Moi?;COMEDY;16;False
92;1967;A Coeur Joie, (Head Over Heels);ACTION;54;False
93;1968;Shalako;WESTERNS;0;False
94;1964;Contempt;DRAMA;81;False
95;1965;Dear Brigitte;COMEDY;71;False
96;1962;A Very Private Affair;DRAMA;30;False
97;1964;Ravishing Idiot, The;COMEDY;34;False
98;1958;Bride Is Much Too Beautiful, The;COMEDY;70;False
99;1955;Doctor at Sea;COMEDY;83;False
100;1962;Le Repos Du Guerrier, (Warrior's Rest);WAR;8;False
101;1957;And God Created Woman;DRAMA;29;False
102;1973;Ms. Don Juan;DRAMA;39;False
103;1987;Siesta;DRAMA;48;False
104;1932;Rich & Strange;DRAMA;57;False
105;1987;Lionheart;ACTION;9;False
106;1982;E. T. The Extra-Terrestrial;SCIENCE FICTION;8;True
107;1992;Cool World;DRAMA;44;False
108;1988;Nadine;COMEDY;47;False
109;1989;Batman;ACTION;14;False
110;1987;Blind Date;COMEDY;7;False
111;1982;Mother Lode;ACTION;40;False
112;1992;Final Analysis;DRAMA;50;False
113;1983;Never Say Never Again;ACTION;8;False
114;1986;Nine & a Half Weeks;DRAMA;7;False
115;1989;Killjoy;MYSTERY;71;False
116;1986;No Mercy;DRAMA;11;False
117;1991;Marrying Man, The;COMEDY;84;False
118;1990;Misery;HORROR;48;True
119;1946;Crisis;DRAMA;66;False
120;1984;Samson & Delilah;DRAMA;36;False
121;1990;Act of Piracy;MYSTERY;74;False
122;1988;Split Decisions;DRAMA;52;False
123;1989;Vampire's Kiss;COMEDY;49;False
124;1988;Nightmare at Noon;ACTION;0;False
125;1990;Presumed Innocent;MYSTERY;69;False
126;1942;Reap the Wild Wind;DRAMA;59;False
127;1972;Pocket Money;COMEDY;55;False
128;1977;Mary White;DRAMA;2;False
129;1982;Catch a Rising Star, Tenth Anniversary;COMEDY;18;False
130;1990;Guilty by Suspicion;DRAMA;88;False
131;1948;Secret Beyond the Door;MYSTERY;31;False
132;1945;Scarlet Street;DRAMA;80;False
133;1988;Daffy Duck's Quackbusters;ACTION;68;False
134;1985;Rowlf's Rhapsodies with the Muppets;COMEDY;79;False
135;1982;Gandhi;DRAMA;7;True
136;1975;Wind & the Lion, The;ACTION;2;False
137;1971;Carnal Knowledge;DRAMA;10;False
138;1970;Getting Straight;COMEDY;83;False
139;1972;Scarlet Letter, The;DRAMA;55;False
140;1935;Count of Old Town, The;COMEDY;72;False
141;1978;Autumn Sonata;DRAMA;49;True
142;1944;Gaslight;DRAMA;25;True
143;1958;Indiscreet;DRAMA;1;False
144;1941;Walpurgis Night;DRAMA;32;False
145;1948;Joan of Arc;DRAMA;7;False
146;1982;A Woman Called Golda;DRAMA;15;True
147;1969;A Walk in the Spring Rain;DRAMA;2;False
148;1949;Under Capricorn;DRAMA;74;False
149;1946;Notorious;MYSTERY;42;False
150;1940;June Night;DRAMA;14;False
151;1961;Goodbye Again;DRAMA;6;False
152;1956;Anastasia;DRAMA;24;True
153;1945;Bells of St. Mary's, The;DRAMA;31;False
154;1937;Intermezzo;DRAMA;32;False
155;1938;A Woman's Face;DRAMA;49;False
156;1935;Swedenhielms;DRAMA;88;False
157;1939;Only One Night;DRAMA;26;False
158;1938;Dollar;DRAMA;19;False
159;1956;Elena & Her Men;DRAMA;33;False
160;1952;Europa Fifty-One;DRAMA;34;False
161;1953;Voyage in Italy;DRAMA;57;False
162;1954;Fear;DRAMA;69;False
163;1950;Stromboli;DRAMA;69;False
164;1969;Cactus Flower;COMEDY;67;True
165;1989;Hideaways;COMEDY;16;False
166;1990;Twenty Four Hours in a Woman's Life;DRAMA;16;False
167;1987;Programmed to Kill;ACTION;71;False
168;1982;Conan the Barbarian;ACTION;45;False
169;1991;Raw Nerve;MYSTERY;88;False
170;1970;Think Dirty;COMEDY;31;False
171;1982;King of Comedy;DRAMA;84;False
172;1983;Best of the Big Laff Off, The;COMEDY;20;False
173;1984;Amadeus;DRAMA;6;True
174;1973;White Lightning;ACTION;54;False
175;1988;Unbearable Lightness of Being, The;DRAMA;5;True
176;1972;Life & Times of Judge Roy Bean, The;WESTERN;65;False
177;1970;Airport;DRAMA;0;True
178;1973;Day for Night;DRAMA;10;True
179;1952;Secrets of Women;COMEDY;66;False
180;1976;Burnt Offerings;HORROR;35;False
181;1969;Easy Rider;DRAMA;36;False
182;1991;Five Easy Pieces;DRAMA;2;False
183;1974;Day of the Locust, The;DRAMA;81;False
184;1964;Goldfinger;ACTION;77;False
185;1977;Exorcist II, The Heretic;HORROR;29;False
186;1953;White Lightning;;;False
187;1942;Lady for a Night;DRAMA;12;False
188;1968;Charly;DRAMA;38;True
189;1973;High Plains Drifter;WESTERN;57;False
190;1982;Honkytonk Man;DRAMA;69;False
191;1990;Nightbreed;HORROR;72;False
192;1987;Under the Sun of Satan;DRAMA;45;False
193;1985;Vagabond;DRAMA;49;False
194;1993;Bill Cosby, Live at Harrah's;COMEDY;13;False
195;1974;Monty Python & the Holy Grail;COMEDY;83;False
196;1993;John Cleese on How to Irritate People;COMEDY;62;False
197;1958;Matchmaker, The;COMEDY;67;False
198;1981;For Your Eyes Only;ACTION;86;False
199;1928;Wings;WAR;44;True
200;1992;Medicine Man;ACTION;6;False
201;1989;Good Fellas;DRAMA;15;False
202;1985;Kiss of the Spider Woman;DRAMA;10;True
203;1990;Rookie, THe;ACTION;48;False
204;1973;Sting, The;DRAMA;83;True
205;1958;Torpedo Run;WAR;50;False
206;1986;Instant Justice;DRAMA;45;False
207;1990;Cyrano de Bergerac;DRAMA;76;False
208;1948;Border Street;DRAMA;73;False
209;1987;Firehouse;COMEDY;66;False
210;1965;Morituri;DRAMA;9;False
211;1980;From the Life of the Marionettes;DRAMA;58;False
212;1988;Frantic;MYSTERY;17;False
213;1978;Coma;SCIENCE FICTION;64;False
214;1988;Dead Ringers;DRAMA;29;False
215;1988;Golden Ninja Invasion;ACTION;13;False
216;1973;Exorcist, The;HORROR;28;True
217;1975;Alice Doesn't Live Here Anymore;COMEDY;82;True
218;1982;Eyes of the Amaryllis, The;DRAMA;70;False
219;1952;What Price Glory?;WAR;4;False
220;1954;Inauguration of the Pleasure Dome;SHORT;62;False
221;1989;School Daze;COMEDY;18;False
222;1990;End of Innocence, The;DRAMA;6;False
223;1971;Anderson Tapes, The;MYSTERY;1;False
224;1983;Father Murphy, A Horse from Heaven;COMEDY;28;False
225;1989;Skull;DRAMA;19;False
226;1987;Quick & The Dead, The;WESTERN;40;False
227;1984;Best Defense;COMEDY;75;False
228;1984;Dreamscape;SCIENCE FICTION;63;False
229;1989;Black Rain;ACTION;73;False
230;1963;8 1/2;DRAMA;80;True
231;1935;One Frightened Night;HORROR;33;False
232;1988;Year My Voice Broke, The;DRAMA;71;False
233;1966;Is Paris Burning?;WAR;63;False
234;1974;QB VII;DRAMA;28;True
235;1977;Island of Dr. Moreau, The;HORROR;54;False
236;1983;Beyond the Limit;DRAMA;51;False
237;1936;Secret Agent;MYSTERY;50;False
238;1986;Paramount Comedy Theater: Well-Developed;COMEDY;40;False
239;1972;Big Bust Out, The;ACTION;50;False
240;1987;Fourth Protocol, The;MYSTERY;14;False
