id;name;birthdate
0;Antonio Banderas;1965-04-26
1;Victoria Abril;2001-12-09
2;Pedro Almodóvar;1999-05-11
3;Miguel Bosé;1974-07-11
4;Christopher Walken;1951-03-26
5;Brooke Adams;1992-03-28
6;David Cronenberg;1962-07-24
7;Sean Connery;1992-04-01
8;Richard Lester;2009-04-07
9;Richard Gere;1942-06-28
10;Terrence Malick;1997-01-18
11;Roger Moore;1948-12-08
12;Maud Adams;1957-07-02
13;John Glen;1998-09-11
14;Chuck Connors;1960-08-23
15;José Antonio de la Loma;1941-06-14
16;Robert D. Bergen;1957-09-14
17;Trudy Adams;2002-09-13
18;Beverly Sebastian;1999-03-06
19;Christopher Lambert;1984-04-26
20;Isabelle Adjani;1955-11-20
21;Luc Besson;1951-08-26
22;Gérard Depardieu;1964-02-15
23;Bruno Nuytten;1954-05-09
24;Börje Ahlstedt;1943-06-04
25;Kristina Adolphson;1980-10-27
26;Ingmar Bergman;1976-04-13
27;Ugo Tognazzi;1952-09-12
28;Anouk Aimee;1997-07-15
29;Bernardo Bertolucci;1955-09-03
30;Jean-Louis Trintignant;2007-04-27
31;Claude Lelouch;1941-02-24
32;Hector Alterio;1996-03-20
33;Norma Aleandro;1977-05-19
34;Luiz Puenzo;2003-06-19
35;Anthony Hopkins;1963-09-28
36;Denise Alexander;1969-03-26
37;Buzz Kulik;1955-10-25
38;John Longden;1977-09-26
39;Sara Algood;1990-02-17
40;Alfred Hitchcock;1978-09-22
41;John Wayne;1981-05-08
42;Elizabeth Allen;2005-07-11
43;John Ford;1986-05-27
44;Jeff Bridges;1984-03-05
45;Joan Allen;1987-08-06
46;Francis Ford Coppola;1987-11-26
47;Bill Murray;1941-09-09
48;Karen Allen;1981-04-06
49;Richard Donner;1966-06-17
50;Harrison Ford;1975-05-23
51;Steven Spielberg;1992-10-07
52;Arnold Schwarzenegger;1977-06-04
53;Maria Conchita Alonso;1975-05-11
54;Paul Michael Glaser;1961-05-11
55;Danny Glover;2002-09-18
56;Stephen Hopkins;2006-11-02
57;Sean Penn;1970-06-08
58;Dennis Hopper;1981-11-01
59;Nicolas Cage;1993-03-07
60;Erika Anderson;2000-03-26
61;Sam Pillsbury;1955-05-15
62;Kevin Anderson;1995-07-05
63;Jo Anderson;1953-11-02
64;Gary Sinise;1980-10-27
65;Glenn Ford;1944-04-26
66;Melissa Sue Anderson;2007-03-14
67;J. Lee Thompson;1988-04-21
68;Gil Gerard;1996-04-28
69;Melody Anderson;1953-03-14
70;Steven Hilliard Stern;2003-05-03
71;Paul Newman;1949-03-24
72;Bibi Andersson;1968-03-12
73;Robert Altman;2004-07-04
74;Jarl Kulle;1981-10-02
75;Victor Sjöström;1953-11-21
76;Max von Sydow;1954-01-26
77;Rod Taylor;1942-09-08
78;Gunnar Björnstrand;1997-03-11
79;Harriet Andersson;1994-10-16
80;Erland Josephson;1966-04-23
81;Eiko Ando;1942-11-02
82;John Huston;1962-05-26
83;David Niven;1952-03-22
84;Ursula Andress;1954-05-21
85;Ken Hughes;1942-06-27
86;Terence Young;1977-06-02
87;Peter Finch;1976-06-23
88;Dana Andrews;2001-06-25
89;Dudley Moore;1971-05-28
