id;year;title;subject;popularity;awards
0;1990;Tie Me Up! Tie Me Down!;COMEDY;68;false
1;1991;High Heels;COMEDY;68;false
2;1983;Dead Zone, The;HORROR;79;false
3;1979;Cuba;ACTION;6;false
4;1978;Days of Heaven;DRAMA;14;false
5;1983;Octopussy;ACTION;68;false
6;1984;Target Eagle;ACTION;14;false
7;1989;American Angels: Baptism of Blood, The;DRAMA;28;false
8;1985;Subway;DRAMA;6;false
9;1990;Camille Claudel;DRAMA;32;false
10;1982;Fanny and Alexander;DRAMA;81;true
11;1982;Tragedy of a Ridiculous Man;DRAMA;17;false
12;1966;A Man & a Woman;DRAMA;46;true
13;1986;A Man & a Woman: Twenty Years Later;DRAMA;49;false
14;1966;Un Hombre y una Mujer;DRAMA;6;true
15;1985;Official Story, The;DRAMA;39;true
16;1976;Lindbergh Kidnapping Case, The;DRAMA;51;false
17;1929;Blackmail;MYSTERY;2;false
18;1963;Donovan's Reef;COMEDY;62;false
19;1988;Tucker: The Man & His Dream;DRAMA;68;false
20;1988;Scrooged;COMEDY;15;false
21;1981;Raiders of the Lost Ark;ACTION;8;false
22;1987;Running Man, The;SCIENCE_FICTION;31;false
23;1991;Predator 2;ACTION;79;false
24;1988;Colors;DRAMA;23;false
25;1990;Zandalee;DRAMA;80;false
26;1988;Miles from Home;DRAMA;53;false
27;1980;Happy Birthday to Me;HORROR;88;false
28;1989;Final Notice;MYSTERY;88;false
29;1979;Quintet;DRAMA;19;false
30;1960;Devil's Eye, The;DRAMA;20;false
31;1957;Wild Strawberries;DRAMA;42;true
32;1956;Seventh Seal, The;DRAMA;62;false
33;1992;Germicide;DRAMA;36;false
34;1955;Dreams;DRAMA;14;false
35;1955;Naked Night, The;DRAMA;38;false
36;1962;Through a Glass Darkly;DRAMA;64;true
37;1972;Cries & Whispers;DRAMA;18;true
38;1958;Barbarian & the Geisha, The;ACTION;52;false
39;1967;Casino Royale;COMEDY;11;false
40;1962;Dr. No;ACTION;7;false
41;1954;Elephant Walk;DRAMA;11;false
42;1979;Ten;COMEDY;60;false
43;1983;Man Who Loved Women, The;COMEDY;67;false
44;1966;Hawaii;DRAMA;8;false
45;1966;Torn Curtain;MYSTERY;35;false
46;1986;Duet for One;DRAMA;82;false
47;1965;Sound of Music, The;MUSIC;59;true
48;1985;Gonzo Presents Muppet Weird Stuff;COMEDY;88;false
49;1984;Tartuffe;COMEDY;67;false
50;1988;A New Life;COMEDY;53;false
51;1978;Magic;MYSTERY;85;false
52;1992;Tommy;MUSIC;5;false
53;1978;Big Fix, The;MYSTERY;19;false
54;1992;Alan & Naomi;DRAMA;3;false
55;1987;Fatal Attraction;MYSTERY;61;false
56;1992;Patriot Games;ACTION;28;false
57;1981;Woman Next Door, The;DRAMA;82;false
58;1992;Hunting;MYSTERY;68;false
59;1991;Bataan;WAR;68;false
60;1924;Siegfried, The Nibelungenlied;DRAMA;79;false
61;1991;Henry, Portrait of a Serial Killer;HORROR;69;false
62;1988;Big Blue, The;DRAMA;7;false
63;1991;Flight of the Intruder;DRAMA;51;false
64;1986;Nobody's Fool;COMEDY;52;false
65;1985;After Hours;COMEDY;81;false
66;1985;Desperately Seeking Susan;COMEDY;41;false
67;1971;A New Leaf;COMEDY;83;false
68;1959;Killers of Kilimanjaro;ACTION;11;false
69;1926;Don Juan;ACTION;55;false
70;1987;Babette's Feast;DRAMA;79;true
71;1989;Vincent, Francois, Paul & the Others;DRAMA;20;false
72;1988;Thunderball;ACTION;8;false
73;1926;Lodger (Story of the London Fog);MYSTERY;76;false
74;1988;Appointment with Death;MYSTERY;75;false
75;1974;Murder on the Orient Express;MYSTERY;8;true
76;1955;Blood Alley;WAR;15;false
77;1977;Spy Who Loved Me, The;ACTION;27;false
78;1988;Storm;ACTION;61;false
79;1991;Bloodbath;HORROR;37;false
80;1989;Miami Cops;ACTION;40;false
81;1996;Island of Dr. Moreau, The;HORROR;39;false
82;1992;Eighty-Four Charing Cross Road;DRAMA;9;false
83;1980;Elephant Man, The;DRAMA;3;true
84;1988;Dr Alien;SCIENCE_FICTION;70;false
85;1982;Creepshow;HORROR;70;false
86;1987;Sammy & Rosie Get Laid;DRAMA;6;false
87;1971;Goalie's Anxiety at the Penalty Kick, The;DRAMA;62;false
88;1957;Mademoiselle Striptease;COMEDY;25;false
89;1969;Women, The;DRAMA;66;false
90;1958;That Naughty Girl;COMEDY;37;false
91;1959;Voulez-Vous Danser Avec Moi?;COMEDY;16;false
92;1967;A Coeur Joie, (Head Over Heels);ACTION;54;false
93;1968;Shalako;WESTERNS;0;false
94;1964;Contempt;DRAMA;81;false
95;1965;Dear Brigitte;COMEDY;71;false
96;1962;A Very Private Affair;DRAMA;30;false
97;1964;Ravishing Idiot, The;COMEDY;34;false
98;1958;Bride Is Much Too Beautiful, The;COMEDY;70;false
99;1955;Doctor at Sea;COMEDY;83;false
100;1962;Le Repos Du Guerrier, (Warrior's Rest);WAR;8;false
101;1957;And God Created Woman;DRAMA;29;false
102;1973;Ms. Don Juan;DRAMA;39;false
103;1987;Siesta;DRAMA;48;false
104;1932;Rich & Strange;DRAMA;57;false
105;1987;Lionheart;ACTION;9;false
106;1982;E. T. The Extra-Terrestrial;SCIENCE_FICTION;8;true
107;1992;Cool World;DRAMA;44;false
108;1988;Nadine;COMEDY;47;false
109;1989;Batman;ACTION;14;false
110;1987;Blind Date;COMEDY;7;false
111;1982;Mother Lode;ACTION;40;false
112;1992;Final Analysis;DRAMA;50;false
113;1983;Never Say Never Again;ACTION;8;false
114;1986;Nine & a Half Weeks;DRAMA;7;false
115;1989;Killjoy;MYSTERY;71;false
116;1986;No Mercy;DRAMA;11;false
117;1991;Marrying Man, The;COMEDY;84;false
118;1990;Misery;HORROR;48;true
119;1946;Crisis;DRAMA;66;false
120;1984;Samson & Delilah;DRAMA;36;false
121;1990;Act of Piracy;MYSTERY;74;false
122;1988;Split Decisions;DRAMA;52;false
123;1989;Vampire's Kiss;COMEDY;49;false
124;1988;Nightmare at Noon;ACTION;0;false
125;1990;Presumed Innocent;MYSTERY;69;false
126;1942;Reap the Wild Wind;DRAMA;59;false
127;1972;Pocket Money;COMEDY;55;false
128;1977;Mary White;DRAMA;2;false
129;1982;Catch a Rising Star, Tenth Anniversary;COMEDY;18;false
130;1990;Guilty by Suspicion;DRAMA;88;false
131;1948;Secret Beyond the Door;MYSTERY;31;false
132;1945;Scarlet Street;DRAMA;80;false
133;1988;Daffy Duck's Quackbusters;ACTION;68;false
134;1985;Rowlf's Rhapsodies with the Muppets;COMEDY;79;false
135;1982;Gandhi;DRAMA;7;true
136;1975;Wind & the Lion, The;ACTION;2;false
137;1971;Carnal Knowledge;DRAMA;10;false
138;1970;Getting Straight;COMEDY;83;false
139;1972;Scarlet Letter, The;DRAMA;55;false
140;1935;Count of Old Town, The;COMEDY;72;false
141;1978;Autumn Sonata;DRAMA;49;true
142;1944;Gaslight;DRAMA;25;true
143;1958;Indiscreet;DRAMA;1;false
144;1941;Walpurgis Night;DRAMA;32;false
145;1948;Joan of Arc;DRAMA;7;false
146;1982;A Woman Called Golda;DRAMA;15;true
147;1969;A Walk in the Spring Rain;DRAMA;2;false
148;1949;Under Capricorn;DRAMA;74;false
149;1946;Notorious;MYSTERY;42;false
150;1940;June Night;DRAMA;14;false
151;1961;Goodbye Again;DRAMA;6;false
152;1956;Anastasia;DRAMA;24;true
153;1945;Bells of St. Mary's, The;DRAMA;31;false
154;1937;Intermezzo;DRAMA;32;false
155;1938;A Woman's Face;DRAMA;49;false
156;1935;Swedenhielms;DRAMA;88;false
157;1939;Only One Night;DRAMA;26;false
158;1938;Dollar;DRAMA;19;false
159;1956;Elena & Her Men;DRAMA;33;false
160;1952;Europa Fifty-One;DRAMA;34;false
161;1953;Voyage in Italy;DRAMA;57;false
162;1954;Fear;DRAMA;69;false
163;1950;Stromboli;DRAMA;69;false
164;1969;Cactus Flower;COMEDY;67;true
165;1989;Hideaways;COMEDY;16;false
166;1990;Twenty Four Hours in a Woman's Life;DRAMA;16;false
167;1987;Programmed to Kill;ACTION;71;false
168;1982;Conan the Barbarian;ACTION;45;false
169;1991;Raw Nerve;MYSTERY;88;false
170;1970;Think Dirty;COMEDY;31;false
171;1982;King of Comedy;DRAMA;84;false
172;1983;Best of the Big Laff Off, The;COMEDY;20;false
173;1984;Amadeus;DRAMA;6;true
174;1973;White Lightning;ACTION;54;false
175;1988;Unbearable Lightness of Being, The;DRAMA;5;true
176;1972;Life & Times of Judge Roy Bean, The;WESTERN;65;false
177;1970;Airport;DRAMA;0;true
178;1973;Day for Night;DRAMA;10;true
179;1952;Secrets of Women;COMEDY;66;false
180;1976;Burnt Offerings;HORROR;35;false
181;1969;Easy Rider;DRAMA;36;false
182;1991;Five Easy Pieces;DRAMA;2;false
183;1974;Day of the Locust, The;DRAMA;81;false
184;1964;Goldfinger;ACTION;77;false
185;1977;Exorcist II, The Heretic;HORROR;29;false
186;1953;White Lightning;NULL;NULL;false
187;1942;Lady for a Night;DRAMA;12;false
188;1968;Charly;DRAMA;38;true
189;1973;High Plains Drifter;WESTERN;57;false
190;1982;Honkytonk Man;DRAMA;69;false
191;1990;Nightbreed;HORROR;72;false
192;1987;Under the Sun of Satan;DRAMA;45;false
193;1985;Vagabond;DRAMA;49;false
194;1993;Bill Cosby, Live at Harrah's;COMEDY;13;false
195;1974;Monty Python & the Holy Grail;COMEDY;83;false
196;1993;John Cleese on How to Irritate People;COMEDY;62;false
197;1958;Matchmaker, The;COMEDY;67;false
198;1981;For Your Eyes Only;ACTION;86;false
199;1928;Wings;WAR;44;true
200;1992;Medicine Man;ACTION;6;false
201;1989;Good Fellas;DRAMA;15;false
202;1985;Kiss of the Spider Woman;DRAMA;10;true
203;1990;Rookie, THe;ACTION;48;false
204;1973;Sting, The;DRAMA;83;true
205;1958;Torpedo Run;WAR;50;false
206;1986;Instant Justice;DRAMA;45;false
207;1990;Cyrano de Bergerac;DRAMA;76;false
208;1948;Border Street;DRAMA;73;false
209;1987;Firehouse;COMEDY;66;false
210;1965;Morituri;DRAMA;9;false
211;1980;From the Life of the Marionettes;DRAMA;58;false
212;1988;Frantic;MYSTERY;17;false
213;1978;Coma;SCIENCE_FICTION;64;false
214;1988;Dead Ringers;DRAMA;29;false
215;1988;Golden Ninja Invasion;ACTION;13;false
216;1973;Exorcist, The;HORROR;28;true
217;1975;Alice Doesn't Live Here Anymore;COMEDY;82;true
218;1982;Eyes of the Amaryllis, The;DRAMA;70;false
219;1952;What Price Glory?;WAR;4;false
220;1954;Inauguration of the Pleasure Dome;SHORT;62;false
221;1989;School Daze;COMEDY;18;false
222;1990;End of Innocence, The;DRAMA;6;false
223;1971;Anderson Tapes, The;MYSTERY;1;false
224;1983;Father Murphy, A Horse from Heaven;COMEDY;28;false
225;1989;Skull;DRAMA;19;false
226;1987;Quick & The Dead, The;WESTERN;40;false
227;1984;Best Defense;COMEDY;75;false
228;1984;Dreamscape;SCIENCE_FICTION;63;false
229;1989;Black Rain;ACTION;73;false
230;1963;8 1/2;DRAMA;80;true
231;1935;One Frightened Night;HORROR;33;false
232;1988;Year My Voice Broke, The;DRAMA;71;false
233;1966;Is Paris Burning?;WAR;63;false
234;1974;QB VII;DRAMA;28;true
235;1977;Island of Dr. Moreau, The;HORROR;54;false
236;1983;Beyond the Limit;DRAMA;51;false
237;1936;Secret Agent;MYSTERY;50;false
238;1986;Paramount Comedy Theater: Well-Developed;COMEDY;40;false
239;1972;Big Bust Out, The;ACTION;50;false
240;1987;Fourth Protocol, The;MYSTERY;14;false
